delta_power,theta_power,alpha_power,beta_power,gamma_power,std_dev,skewness,hjorth_activity,hjorth_mobility,hjorth_complexity,delta_beta_ratio,alpha_delta_ratio,shannon_entropy,label
-0.5638130565480767,-0.5449099207617539,-0.5433422770392914,-0.5429947518231887,-0.5428541511346745,-0.2055640096529768,-2.1243709205091212,-0.5311875352043977,-0.1900741229917178,0.0023876052707949226,-0.6443861282301373,0.04977112322549758,0.8361056248437485,Sleep stage W
-0.5670595603070575,-0.5952417979229296,-0.5940728792988488,-0.593808444482791,-0.5936981778609833,-0.26539682773110684,0.11739056768460422,-0.5560653977349727,-0.48298329923446237,0.6211765209108122,0.5929521854346206,0.3399154751617589,-1.3821624492355877,Sleep stage W
-0.5141444552794967,-0.5262966330355048,-0.5249749969623192,-0.524679641722495,-0.5245618371502564,-0.12972199804175602,1.0018161546000839,-0.4934827081379297,-0.8922491532303275,1.5911824240560983,-0.2396642616552741,-0.34366859176705905,-0.2730284121959196,Sleep stage W
-0.5370151054141752,-0.5076658515205594,-0.5048155494684207,-0.5041847303899213,-0.5039272934188511,-0.1327539638587122,-0.4396760233049729,-0.4950502012550718,-0.9761506692149168,3.363017998988459,-0.7237620677479399,-0.04419044718780659,-0.2730284121959196,Sleep stage W
-0.4631183849120708,-0.42189762963976024,-0.41997916350798525,-0.4195599887760612,-0.4193902906963295,-0.02371554373217867,-0.33932740279622353,-0.43384903836672095,0.46113174561363945,-1.6205386052175617,-0.697726693540636,-0.005684124554305277,-0.2730284121959196,Sleep stage W
-0.4957726039125607,-0.48259154761855205,-0.4816277293695455,-0.48141422544048895,-0.48133173327528195,-0.12092892181829802,-1.314441629225892,-0.48889225665121044,-0.6579705148645665,-0.582256816283881,-0.5245895536181576,-0.29242575826256123,-1.3821624492355877,Sleep stage W
-0.361977316218145,-0.2032878645056401,-0.19158260898421547,-0.18900982339956066,-0.1879381896005649,0.42222712546568175,-0.9041945392801817,-0.07980648522722013,0.1813756360652,-0.9620651455637744,-0.9900143134416702,-0.6587448758903008,-0.27302841219593443,Sleep stage W
-0.5230026561755126,-0.4462532595508748,-0.4387503430030648,-0.4370947409754235,-0.4364098647254819,0.05930456773436564,1.459429530580326,-0.38056645708730635,-0.8778778858148484,1.2870155577503646,-1.010779040235663,-0.4648194011219319,-0.2730284121959196,Sleep stage W
-0.47214206571818046,-0.5409317958335347,-0.5390905956793618,-0.5386702772210545,-0.5384999584953405,0.09475090834164422,-0.08806831701058941,-0.3560622689858561,-1.0164891242453273,0.6792151716055282,0.5671813639612381,-0.0030394789349792763,0.8361056248437485,Sleep stage W
-0.5520215273069057,-0.5394524960239473,-0.5356899649787246,-0.5348535165068036,-0.5345090073512195,0.8566248189050887,0.8922038298101955,0.42539166822744817,-0.916731949901749,1.4157193651853044,-0.5864362902278205,0.4754034348596987,-1.3821624492355877,Sleep stage W
